Date,NY,TX,,Non-Excel date
2020-03-01,State of Emergency Declared on 2020-01-03,,,2020-01-30
2020-03-07,"Gatherings of more than 500 prohibited, gatherings of less than 500 at 50%, absentee voting rules modified to allow all to vote absentee if desired",,,2020-03-07
2020-03-13,,State of Disaster Declared,,2020-03-13
2020-03-14,"Absentee ballot qualifications loosened to allow any voter to obtain one, ballow application extended, schools must exhaust snow days before closing permanently",,,2020-03-14
2020-03-15,All NYC Schools closed until April 20,,,2020-03-15
2020-03-16,"All gatherings of over 50 people, including religious services, are suspended.  Onsite food and drink service suspended, alcohol delivery expanded.  Gyms, theaters, and casinos closed.",,,2020-03-16
2020-03-18,"All schools in New York State ordered to close until April 1. Non-NY registered medical practitioners allowed to operate in NYS. Building, construction, energy conservation codes temporarily suspended until April 17 for establishment of temporary hospitals, extensions, and capacity increases. Adult day care program transportation suspended. Visitors and community outings restricted for residents at mental hygiene facilities. Abbreviated training permitted to address staff shortages in medical support and administrative programs and facilities. Patients with COVID allowed to reenter nursing homes. Temporary hospital wards created. Background checks for child day care requirements suspended. Unemployment filing requirements relaxed in cases where unemployment arose due to COVID-19 related closures or mandatory orders. Hearings can be held by conference call or similar electronic method. No locality or political subdivision permitted to issue local emergency order or executive order related to COVID-19 without state approval.",Restaraunts and Bars allowed to deliver alcohol,,2020-03-18
2020-03-19,All shopping malls and public amusement places closed.,De facto stay at home order issued,,2020-03-19
2020-03-20,Stay at home order issued.  Non-essential businesses are restricted to 50% staff.  No enforcement of evictions for 90 days.,"Schools, bars, restaruants and gyms closed, gatherings of more than 10 people prohibited, except for religious services",,2020-03-20
2020-03-21,"Hair salons, tattoo/piercing parlors, and related industries closed. All non-essential businesses and not-for-profit entities required to utilize telecommuting or work from home.   Employers reduce in-person workface by 75%. Banks cannot foreclose on people or businesses due to COVID-19 hardship. Opportunities to apply for forebearance on mortgages mandated. ATM, overdraft, and late fees restricted or modified.",,,2020-03-21
2020-03-22,Non-essential businesses and not-for-profit entities must reduce in-person workforce by 100%.,Non-essential medical procedures suspended,,2020-03-22
2020-03-23,"Hospitals required to increase hospital beds. Ambulance location restrictions removed. Provisional certification for medical care providers with modified medical certification periods permitted. Advanced practice RNs permitted to administer anesthesia without supervision. Physician assistants, specialist assistant, and nurse practitioners permitted to provide appropriate medical care without supervising physician or written practice agreement. Medical practitioners immune from civil liability except in cases of gross negligence. Medical students permitted to become licensed or volunteer at healthcare facility without entering into affiliation agreement. Recordkeeping requirements loosened as necessary to perform tasks related to COVID-19 relief. Commissioner of Health permitted to designate trauma centers as well as modify certification/licensing of medical providers, equipment, and vehicles. Limits on physicians and postgraduate trainees' working hours removed. Graduates of foreign medical schools without licenses permitted to work in hospitals at least if completed one year of graduate medical education. Radiologic technologists, respiratory therapists, physician's assistants, registered professional nurses, licensed practicla nurses, and nurse practitioners without NYS registration permitted to operate in NYS. Labratories  holding CLIA certificate permitted to perform testing for SARS-CoV-2. Registered nurses permitted to conduct testing for COVID-19. Pharmacy technician permitted to assist licensed pharmacist with creating and issuing prescriptions. Students in healthcare programs permitted to volunteer in any healthcare facility for credit without requiring affiliation agreement. Commissioner of Health authorized to order increase in beds, including by canceling elective surgeries and procedures. Commissioner of Health authorize to suspend or revoke hospital's operating certificate if they do not meet capacity directives. Pharmacists prohibited from dispensing hydroxychloroquine or chloroquine except for FDA-approved reason or for state trial of COVID-19 treatment; permitted prescriptions limited to single 14 day amount. Health insurance companies required to provide list of all medical practitioners with current or recently expired medical license. Non-essential gatherings of any size for any reason prohibited. ",,,2020-03-23
2020-03-25,Nursing Home Patients with COVID are sent back to the nursing homes,,,2020-03-25
2020-03-26,,14 day quarentine instituted for travelers from COVID hotspots,,2020-03-26
2020-03-27,"All schools in New York State ordered to close until April 15. Pharmacies and registered resident outsourcing facilities permitted to make hand sanitizer. Pharmacy technicians and pharamacists permitted to work from alternative location, including home. Midwives licensed anywhere in US or Canada permitted to practice in NYS. School closure increased to April 15. State, county, and local police officers permitted to remove people violating rules limiting space occupancy or facility operations as well as enforce codes through issuing tickets.",,,2020-03-27
2020-03-28,Non-essential construction suspended; presidential primary and special elections postponed to June 23. One support person without a fever permitted to be present for a person giving birth.,,,2020-03-28
2020-03-29,Non-essential NYS workers continue working from home until April 16. Construction work exception modified. ,Executive order suspending all bonds for those accused of violent crime and preventing release of those accused of violent crimes due to lack of speedy trial (11 days),,2020-03-29
2020-04-06,Statewide stay at home order and school closings extended to April 29,,,2020-04-06
2020-04-07,"2020 graduate of any medical program with accredidation can practice at any institution with supervision. All stored medical equipment must be reported to DOH, which can shift items as needed. Nonessential gatherings and workplace closures extended until April 29. Fine for breaking directives set at $1,000. School closures extended through April 29.",,,2020-04-07
2020-04-09,"Individuals who graduated from NYS medical programs in 2020 can practice without obtaining a license if properly supervised. Medical staff other than doctors, nurses, and PAs need only be licensed in another state to work in New York.  Absentee ballots can be granted based upon potential for contracting COVID-19 for election on or before June 23. Electronic applications for absentee ballots permitted without requirement for in-person signature or appearance.  ",,,2020-04-09
2020-04-12,Greater permission for individuals testing for SARS-CoV-2 or antibodies. Political caucauses delayed until June 1 unless held remotely. ,,,2020-04-12
2020-04-15,Mask mandate estabilished for areas where social distancing is impossible. Essential businesses and entities must pay for and provide employees with face coverings.,,,2020-04-15
2020-04-17,"Masks required for everyone 2 and over who can medically tolerate it. All labratories in state conducting COVID-19 diagnostic testing must comply with statewide, coordinated process. Local governments and DOH must cosult with state DOH before taking any actions that could affect public health or that could impede/conflict with other actions for managing COVID-19 response.","Some elective surgeries allowed to resume, suspension of all non-essential services prolonged",,2020-04-17
2020-04-18,Marriage license can be issued and ceremonies can be performed using audio-video technology.,,,2020-04-18
2020-04-19,Any public or private officiant able to solemnize marriage ceremony utilizing audio-video technology. ,,,2020-04-19
2020-04-20,,,,2020-04-20
2020-04-24,Every voter eligible to vote in primary or special election on June 23 will be sent absentee ballot application with postage paid. Commissioner of Health authorize to suspend or revoke operating certificate for nursing facility or adult care facility if judged they did not adhere to regulations or compy with laws. ,,,2020-04-24
2020-04-25,Pharmacists authorized to order COVID-19 tests; pharamacists designated qualified healthcare professional for purpose of testing patients and directing limited service laboratory for COVID-19 ,,,2020-04-25
2020-04-27,,"Phase I reopening: movie theaters, retail shops, museums, libraries, and restaraunts allowed to operate at 25% capacity, golf courses reopened, counties with less than 5 reported cases allowed to operate at 50% capacity, hospitals still required to keep 15% of beds available for COVID cases, 14 day quarantine for people coming from CA, CT, NJ, NY, WA, Atlanta, GA, Chicago, IL, Detroit, MI, or Miami, FL.",,2020-04-27
2020-04-29,"Temporary birthing sites permitted to be approved and certified. Birthing sites required to permit support person and a doula, provided they do not exhibit symptoms of COVID-19. Hospitals permitted to perform elective surgeries provided succient capacity and low numbers of patients with COVID-19, or may seek a waiver by submitting a plan for current situation and potential hardships if not permitted to perform elective surgeries. Patients must test negative for COVID-19 before elective surgery or procedures.",,,2020-04-29
